Entity,Code,Day,"People fully vaccinated (cumulative, per hundred)"
Africa,,2021-12-05,8.676217
Africa,,2021-12-06,8.725364
Africa,,2021-12-07,8.7731695
Africa,,2021-12-08,8.823546
Africa,,2021-12-09,8.872278
Africa,,2021-12-10,8.93148
Africa,,2021-12-11,8.98263
Africa,,2021-12-12,9.036874
Africa,,2021-12-13,9.093727
Africa,,2021-12-14,9.151409
Africa,,2021-12-15,9.211552
Africa,,2021-12-16,9.280985
Africa,,2021-12-17,9.344569
Africa,,2021-12-18,9.407259
Africa,,2021-12-19,9.470446
Africa,,2021-12-20,9.539335
Africa,,2021-12-21,9.611853
Africa,,2021-12-22,9.684284
Africa,,2021-12-23,9.747707
Africa,,2021-12-24,9.80649
Africa,,2021-12-25,9.859711
Africa,,2021-12-26,9.911304
Africa,,2021-12-27,9.957873
Africa,,2021-12-28,10.008987
Africa,,2021-12-29,10.059377
Africa,,2021-12-30,10.109407
Africa,,2021-12-31,10.164667
Africa,,2022-01-01,10.22975
Africa,,2022-01-02,10.270972
Africa,,2022-01-03,10.319701
Africa,,2022-01-04,10.370457
Africa,,2022-01-05,10.413706
Africa,,2022-01-06,10.458292
Africa,,2022-01-07,10.523418
Africa,,2022-01-08,10.582371
Africa,,2022-01-09,10.6343775
Africa,,2022-01-10,10.686228
Africa,,2022-01-11,10.7326145
Africa,,2022-01-12,10.780647
Africa,,2022-01-13,10.830266
Africa,,2022-01-14,10.88139
Africa,,2022-01-15,10.930417
Africa,,2022-01-16,10.996385
Africa,,2022-01-17,11.062179
Africa,,2022-01-18,11.111939
Africa,,2022-01-19,11.162055
Africa,,2022-01-20,11.205215
Africa,,2022-01-21,11.249727
Africa,,2022-01-22,11.291955
Africa,,2022-01-23,11.330378
Africa,,2022-01-24,11.370317
Africa,,2022-01-25,11.414514
Africa,,2022-01-26,11.460572
Africa,,2022-01-27,11.510987
Africa,,2022-01-28,11.558951
Africa,,2022-01-29,11.607736
Africa,,2022-01-30,11.6592245
Africa,,2022-01-31,11.715854
Africa,,2022-02-01,11.778336
Africa,,2022-02-02,11.839316
Africa,,2022-02-03,11.902233
Africa,,2022-02-04,11.964702
Africa,,2022-02-05,12.025933
Africa,,2022-02-06,12.085103
Africa,,2022-02-07,12.136636
Africa,,2022-02-08,12.188807
Africa,,2022-02-09,12.242053
Africa,,2022-02-10,12.293738
Africa,,2022-02-11,12.343935
Africa,,2022-02-12,12.395001
Africa,,2022-02-13,12.443651
Africa,,2022-02-14,12.494514
Africa,,2022-02-15,12.547273
Africa,,2022-02-16,12.598518
Africa,,2022-02-17,12.646669
Africa,,2022-02-18,12.692366
Africa,,2022-02-19,12.736421
Africa,,2022-02-20,12.777677
Africa,,2022-02-21,12.817161
Africa,,2022-02-22,12.859716
Africa,,2022-02-23,12.900638
Africa,,2022-02-24,12.939916
